Province/State,Country/Region,Lat,Long,Date,ConfirmedCases,Fatalities
,Afghanistan,33,65,22/01/2020,0,0
,Afghanistan,33,65,23/01/2020,0,0
,Afghanistan,33,65,24/01/2020,0,0
,Afghanistan,33,65,25/01/2020,0,0
,Afghanistan,33,65,26/01/2020,0,0
,Afghanistan,33,65,27/01/2020,0,0
,Afghanistan,33,65,28/01/2020,0,0
,Afghanistan,33,65,29/01/2020,0,0
,Afghanistan,33,65,30/01/2020,0,0
,Afghanistan,33,65,31/01/2020,0,0
,Afghanistan,33,65,01/02/2020,0,0
,Afghanistan,33,65,02/02/2020,0,0
,Afghanistan,33,65,03/02/2020,0,0
,Afghanistan,33,65,04/02/2020,0,0
,Afghanistan,33,65,05/02/2020,0,0
,Afghanistan,33,65,06/02/2020,0,0
,Afghanistan,33,65,07/02/2020,0,0
,Afghanistan,33,65,08/02/2020,0,0
,Afghanistan,33,65,09/02/2020,0,0
,Afghanistan,33,65,10/02/2020,0,0
,Afghanistan,33,65,11/02/2020,0,0
,Afghanistan,33,65,12/02/2020,0,0
,Afghanistan,33,65,13/02/2020,0,0
,Afghanistan,33,65,14/02/2020,0,0
,Afghanistan,33,65,15/02/2020,0,0
,Afghanistan,33,65,16/02/2020,0,0
,Afghanistan,33,65,17/02/2020,0,0
,Afghanistan,33,65,18/02/2020,0,0
,Afghanistan,33,65,19/02/2020,0,0
,Afghanistan,33,65,20/02/2020,0,0
,Afghanistan,33,65,21/02/2020,0,0
,Afghanistan,33,65,22/02/2020,0,0
,Afghanistan,33,65,23/02/2020,0,0
,Afghanistan,33,65,24/02/2020,1,0
,Afghanistan,33,65,25/02/2020,1,0
,Afghanistan,33,65,26/02/2020,1,0
,Afghanistan,33,65,27/02/2020,1,0
,Afghanistan,33,65,28/02/2020,1,0
,Afghanistan,33,65,29/02/2020,1,0
,Afghanistan,33,65,01/03/2020,1,0
,Afghanistan,33,65,02/03/2020,1,0
,Afghanistan,33,65,03/03/2020,1,0
,Afghanistan,33,65,04/03/2020,1,0
,Afghanistan,33,65,05/03/2020,1,0
,Afghanistan,33,65,06/03/2020,1,0
,Afghanistan,33,65,07/03/2020,1,0
,Afghanistan,33,65,08/03/2020,4,0
,Afghanistan,33,65,09/03/2020,4,0
,Afghanistan,33,65,10/03/2020,5,0
,Afghanistan,33,65,11/03/2020,7,0
,Afghanistan,33,65,12/03/2020,7,0
,Afghanistan,33,65,13/03/2020,7,0
,Afghanistan,33,65,14/03/2020,11,0
,Afghanistan,33,65,15/03/2020,16,0
,Afghanistan,33,65,16/03/2020,21,0
,Afghanistan,33,65,17/03/2020,22,0
,Afghanistan,33,65,18/03/2020,22,0
,Afghanistan,33,65,19/03/2020,22,0
,Afghanistan,33,65,20/03/2020,24,0
,Afghanistan,33,65,21/03/2020,24,0
,Afghanistan,33,65,22/03/2020,40,1
,Afghanistan,33,65,23/03/2020,40,1
,Afghanistan,33,65,24/03/2020,74,1
,Albania,41.1533,20.1683,22/01/2020,0,0
,Albania,41.1533,20.1683,23/01/2020,0,0
,Albania,41.1533,20.1683,24/01/2020,0,0
,Albania,41.1533,20.1683,25/01/2020,0,0
,Albania,41.1533,20.1683,26/01/2020,0,0
,Albania,41.1533,20.1683,27/01/2020,0,0
,Albania,41.1533,20.1683,28/01/2020,0,0
,Albania,41.1533,20.1683,29/01/2020,0,0
,Albania,41.1533,20.1683,30/01/2020,0,0
,Albania,41.1533,20.1683,31/01/2020,0,0
,Albania,41.1533,20.1683,01/02/2020,0,0
,Albania,41.1533,20.1683,02/02/2020,0,0
,Albania,41.1533,20.1683,03/02/2020,0,0
,Albania,41.1533,20.1683,04/02/2020,0,0
,Albania,41.1533,20.1683,05/02/2020,0,0
,Albania,41.1533,20.1683,06/02/2020,0,0
,Albania,41.1533,20.1683,07/02/2020,0,0
,Albania,41.1533,20.1683,08/02/2020,0,0
,Albania,41.1533,20.1683,09/02/2020,0,0
,Albania,41.1533,20.1683,10/02/2020,0,0
,Albania,41.1533,20.1683,11/02/2020,0,0
,Albania,41.1533,20.1683,12/02/2020,0,0
,Albania,41.1533,20.1683,13/02/2020,0,0
,Albania,41.1533,20.1683,14/02/2020,0,0
,Albania,41.1533,20.1683,15/02/2020,0,0
,Albania,41.1533,20.1683,16/02/2020,0,0
,Albania,41.1533,20.1683,17/02/2020,0,0
,Albania,41.1533,20.1683,18/02/2020,0,0
,Albania,41.1533,20.1683,19/02/2020,0,0
,Albania,41.1533,20.1683,20/02/2020,0,0
,Albania,41.1533,20.1683,21/02/2020,0,0
,Albania,41.1533,20.1683,22/02/2020,0,0
,Albania,41.1533,20.1683,23/02/2020,0,0
,Albania,41.1533,20.1683,24/02/2020,0,0
,Albania,41.1533,20.1683,25/02/2020,0,0
,Albania,41.1533,20.1683,26/02/2020,0,0
,Albania,41.1533,20.1683,27/02/2020,0,0
,Albania,41.1533,20.1683,28/02/2020,0,0
,Albania,41.1533,20.1683,29/02/2020,0,0
,Albania,41.1533,20.1683,01/03/2020,0,0
,Albania,41.1533,20.1683,02/03/2020,0,0
,Albania,41.1533,20.1683,03/03/2020,0,0
,Albania,41.1533,20.1683,04/03/2020,0,0
,Albania,41.1533,20.1683,05/03/2020,0,0
,Albania,41.1533,20.1683,06/03/2020,0,0
,Albania,41.1533,20.1683,07/03/2020,0,0
,Albania,41.1533,20.1683,08/03/2020,0,0
,Albania,41.1533,20.1683,09/03/2020,2,0
,Albania,41.1533,20.1683,10/03/2020,10,0
,Albania,41.1533,20.1683,11/03/2020,12,1
,Albania,41.1533,20.1683,12/03/2020,23,1
,Albania,41.1533,20.1683,13/03/2020,33,1
,Albania,41.1533,20.1683,14/03/2020,38,1
,Albania,41.1533,20.1683,15/03/2020,42,1
,Albania,41.1533,20.1683,16/03/2020,51,1
,Albania,41.1533,20.1683,17/03/2020,55,1
,Albania,41.1533,20.1683,18/03/2020,59,2
,Albania,41.1533,20.1683,19/03/2020,64,2
,Albania,41.1533,20.1683,20/03/2020,70,2
,Albania,41.1533,20.1683,21/03/2020,76,2
,Albania,41.1533,20.1683,22/03/2020,89,2
,Albania,41.1533,20.1683,23/03/2020,104,4
,Albania,41.1533,20.1683,24/03/2020,123,5
,Algeria,28.0339,1.6596,22/01/2020,0,0
,Algeria,28.0339,1.6596,23/01/2020,0,0
,Algeria,28.0339,1.6596,24/01/2020,0,0
,Algeria,28.0339,1.6596,25/01/2020,0,0
,Algeria,28.0339,1.6596,26/01/2020,0,0
,Algeria,28.0339,1.6596,27/01/2020,0,0
,Algeria,28.0339,1.6596,28/01/2020,0,0
,Algeria,28.0339,1.6596,29/01/2020,0,0
,Algeria,28.0339,1.6596,30/01/2020,0,0
,Algeria,28.0339,1.6596,31/01/2020,0,0
,Algeria,28.0339,1.6596,01/02/2020,0,0
,Algeria,28.0339,1.6596,02/02/2020,0,0
,Algeria,28.0339,1.6596,03/02/2020,0,0
,Algeria,28.0339,1.6596,04/02/2020,0,0
,Algeria,28.0339,1.6596,05/02/2020,0,0
,Algeria,28.0339,1.6596,06/02/2020,0,0
,Algeria,28.0339,1.6596,07/02/2020,0,0
,Algeria,28.0339,1.6596,08/02/2020,0,0
,Algeria,28.0339,1.6596,09/02/2020,0,0
,Algeria,28.0339,1.6596,10/02/2020,0,0
,Algeria,28.0339,1.6596,11/02/2020,0,0
,Algeria,28.0339,1.6596,12/02/2020,0,0
,Algeria,28.0339,1.6596,13/02/2020,0,0
,Algeria,28.0339,1.6596,14/02/2020,0,0
,Algeria,28.0339,1.6596,15/02/2020,0,0
,Algeria,28.0339,1.6596,16/02/2020,0,0
,Algeria,28.0339,1.6596,17/02/2020,0,0
,Algeria,28.0339,1.6596,18/02/2020,0,0
,Algeria,28.0339,1.6596,19/02/2020,0,0
,Algeria,28.0339,1.6596,20/02/2020,0,0
,Algeria,28.0339,1.6596,21/02/2020,0,0
,Algeria,28.0339,1.6596,22/02/2020,0,0
,Algeria,28.0339,1.6596,23/02/2020,0,0
,Algeria,28.0339,1.6596,24/02/2020,0,0
,Algeria,28.0339,1.6596,25/02/2020,1,0
,Algeria,28.0339,1.6596,26/02/2020,1,0
,Algeria,28.0339,1.6596,27/02/2020,1,0
,Algeria,28.0339,1.6596,28/02/2020,1,0
,Algeria,28.0339,1.6596,29/02/2020,1,0
,Algeria,28.0339,1.6596,01/03/2020,1,0
,Algeria,28.0339,1.6596,02/03/2020,3,0
,Algeria,28.0339,1.6596,03/03/2020,5,0
,Algeria,28.0339,1.6596,04/03/2020,12,0
,Algeria,28.0339,1.6596,05/03/2020,12,0
,Algeria,28.0339,1.6596,06/03/2020,17,0
,Algeria,28.0339,1.6596,07/03/2020,17,0
,Algeria,28.0339,1.6596,08/03/2020,19,0
,Algeria,28.0339,1.6596,09/03/2020,20,0
,Algeria,28.0339,1.6596,10/03/2020,20,0
,Algeria,28.0339,1.6596,11/03/2020,20,0
,Algeria,28.0339,1.6596,12/03/2020,24,1
,Algeria,28.0339,1.6596,13/03/2020,26,2
,Algeria,28.0339,1.6596,14/03/2020,37,3
,Algeria,28.0339,1.6596,15/03/2020,48,4
,Algeria,28.0339,1.6596,16/03/2020,54,4
,Algeria,28.0339,1.6596,17/03/2020,60,4
,Algeria,28.0339,1.6596,18/03/2020,74,7
,Algeria,28.0339,1.6596,19/03/2020,87,9
,Algeria,28.0339,1.6596,20/03/2020,90,11
,Algeria,28.0339,1.6596,21/03/2020,139,15
,Algeria,28.0339,1.6596,22/03/2020,201,17
,Algeria,28.0339,1.6596,23/03/2020,230,17
,Algeria,28.0339,1.6596,24/03/2020,264,19
,Andorra,42.5063,1.5218,22/01/2020,0,0
,Andorra,42.5063,1.5218,23/01/2020,0,0
,Andorra,42.5063,1.5218,24/01/2020,0,0
,Andorra,42.5063,1.5218,25/01/2020,0,0
,Andorra,42.5063,1.5218,26/01/2020,0,0
,Andorra,42.5063,1.5218,27/01/2020,0,0
,Andorra,42.5063,1.5218,28/01/2020,0,0
,Andorra,42.5063,1.5218,29/01/2020,0,0
,Andorra,42.5063,1.5218,30/01/2020,0,0
,Andorra,42.5063,1.5218,31/01/2020,0,0
,Andorra,42.5063,1.5218,01/02/2020,0,0
,Andorra,42.5063,1.5218,02/02/2020,0,0
,Andorra,42.5063,1.5218,03/02/2020,0,0
,Andorra,42.5063,1.5218,04/02/2020,0,0
,Andorra,42.5063,1.5218,05/02/2020,0,0
,Andorra,42.5063,1.5218,06/02/2020,0,0
,Andorra,42.5063,1.5218,07/02/2020,0,0
,Andorra,42.5063,1.5218,08/02/2020,0,0
,Andorra,42.5063,1.5218,09/02/2020,0,0
,Andorra,42.5063,1.5218,10/02/2020,0,0
,Andorra,42.5063,1.5218,11/02/2020,0,0
,Andorra,42.5063,1.5218,12/02/2020,0,0
,Andorra,42.5063,1.5218,13/02/2020,0,0
,Andorra,42.5063,1.5218,14/02/2020,0,0
,Andorra,42.5063,1.5218,15/02/2020,0,0
,Andorra,42.5063,1.5218,16/02/2020,0,0
,Andorra,42.5063,1.5218,17/02/2020,0,0
,Andorra,42.5063,1.5218,18/02/2020,0,0
,Andorra,42.5063,1.5218,19/02/2020,0,0
,Andorra,42.5063,1.5218,20/02/2020,0,0
,Andorra,42.5063,1.5218,21/02/2020,0,0
,Andorra,42.5063,1.5218,22/02/2020,0,0
,Andorra,42.5063,1.5218,23/02/2020,0,0
,Andorra,42.5063,1.5218,24/02/2020,0,0
,Andorra,42.5063,1.5218,25/02/2020,0,0
,Andorra,42.5063,1.5218,26/02/2020,0,0
,Andorra,42.5063,1.5218,27/02/2020,0,0
,Andorra,42.5063,1.5218,28/02/2020,0,0
,Andorra,42.5063,1.5218,29/02/2020,0,0
,Andorra,42.5063,1.5218,01/03/2020,0,0
,Andorra,42.5063,1.5218,02/03/2020,1,0
,Andorra,42.5063,1.5218,03/03/2020,1,0
,Andorra,42.5063,1.5218,04/03/2020,1,0
,Andorra,42.5063,1.5218,05/03/2020,1,0
,Andorra,42.5063,1.5218,06/03/2020,1,0
,Andorra,42.5063,1.5218,07/03/2020,1,0
,Andorra,42.5063,1.5218,08/03/2020,1,0
,Andorra,42.5063,1.5218,09/03/2020,1,0
,Andorra,42.5063,1.5218,10/03/2020,1,0
,Andorra,42.5063,1.5218,11/03/2020,1,0
,Andorra,42.5063,1.5218,12/03/2020,1,0
,Andorra,42.5063,1.5218,13/03/2020,1,0
,Andorra,42.5063,1.5218,14/03/2020,1,0
,Andorra,42.5063,1.5218,15/03/2020,1,0
,Andorra,42.5063,1.5218,16/03/2020,2,0
,Andorra,42.5063,1.5218,17/03/2020,39,0
,Andorra,42.5063,1.5218,18/03/2020,39,0
,Andorra,42.5063,1.5218,19/03/2020,53,0
,Andorra,42.5063,1.5218,20/03/2020,75,0
,Andorra,42.5063,1.5218,21/03/2020,88,0
,Andorra,42.5063,1.5218,22/03/2020,113,1
,Andorra,42.5063,1.5218,23/03/2020,133,1
,Andorra,42.5063,1.5218,24/03/2020,164,1
,Antigua and Barbuda,17.0608,-61.7964,22/01/2020,0,0
,Antigua and Barbuda,17.0608,-61.7964,23/01/2020,0,0
,Antigua and Barbuda,17.0608,-61.7964,24/01/2020,0,0
,Antigua and Barbuda,17.0608,-61.7964,25/01/2020,0,0
,Antigua and Barbuda,17.0608,-61.7964,26/01/2020,0,0
,Antigua and Barbuda,17.0608,-61.7964,27/01/2020,0,0
,Antigua and Barbuda,17.0608,-61.7964,28/01/2020,0,0
,Antigua and Barbuda,17.0608,-61.7964,29/01/2020,0,0
,Antigua and Barbuda,17.0608,-61.7964,30/01/2020,0,0
,Antigua and Barbuda,17.0608,-61.7964,31/01/2020,0,0
,Antigua and Barbuda,17.0608,-61.7964,01/02/2020,0,0
,Antigua and Barbuda,17.0608,-61.7964,02/02/2020,0,0
,Antigua and Barbuda,17.0608,-61.7964,03/02/2020,0,0
,Antigua and Barbuda,17.0608,-61.7964,04/02/2020,0,0
,Antigua and Barbuda,17.0608,-61.7964,05/02/2020,0,0
,Antigua and Barbuda,17.0608,-61.7964,06/02/2020,0,0
,Antigua and Barbuda,17.0608,-61.7964,07/02/2020,0,0
